,Datetime,groundspeed,throttle,Xacc,Yacc,Zacc,Xgyro,Ygyro,Zgyro,Xmag,Ymag,Zmag
50,2022-10-25 19:11:56,0.03016999,0.0,0.0,0.0,-1001.0,0.0,0.0,0.0,232.0,52.0,-528.0
51,2022-10-25 19:11:57,0.0315508,0.0,0.0,0.0,-1001.0,0.0,0.0,0.0,232.0,52.0,-528.0
52,2022-10-25 19:11:58,0.03610256,4.0,72.0,0.0,-1001.0,0.0,0.0,-1.0,232.0,52.0,-528.0
53,2022-10-25 19:11:59,0.9718079,17.0,133.0,-104.0,-1001.0,0.0,0.0,-765.0,216.0,100.0,-528.0
54,2022-10-25 19:12:00,2.272612,23.0,116.0,-121.0,-1001.0,0.0,0.0,-485.0,89.0,221.0,-528.0
55,2022-10-25 19:12:01,3.382897,26.0,97.0,-33.0,-1001.0,0.0,0.0,-98.0,20.0,237.0,-528.0
56,2022-10-25 19:12:02,4.33729,30.0,97.0,14.0,-1001.0,0.0,0.0,27.0,13.0,238.0,-528.0
57,2022-10-25 19:12:03,5.244691,32.0,32.0,27.0,-1001.0,0.0,0.0,51.0,23.0,237.0,-528.0
58,2022-10-25 19:12:04,5.320961,24.0,-28.0,19.0,-1001.0,0.0,0.0,38.0,33.0,236.0,-528.0
59,2022-10-25 19:12:05,5.035133,23.0,-13.0,12.0,-1001.0,0.0,0.0,24.0,40.0,235.0,-528.0
60,2022-10-25 19:12:06,4.94687,25.0,3.0,5.0,-1001.0,0.0,0.0,12.0,44.0,234.0,-528.0
61,2022-10-25 19:12:07,4.974929,25.0,3.0,0.0,-1001.0,0.0,0.0,0.0,44.0,234.0,-528.0
62,2022-10-25 19:12:08,5.006856,25.0,0.0,0.0,-1001.0,0.0,0.0,0.0,44.0,234.0,-528.0
63,2022-10-25 19:12:09,5.007904,25.0,0.0,0.0,-1001.0,0.0,0.0,0.0,44.0,234.0,-528.0
64,2022-10-25 19:12:10,5.00201,25.0,-1.0,0.0,-1001.0,0.0,0.0,0.0,44.0,234.0,-528.0
65,2022-10-25 19:12:11,5.000559,25.0,0.0,0.0,-1001.0,0.0,0.0,0.0,44.0,234.0,-528.0
66,2022-10-25 19:12:12,5.000347,25.0,0.0,0.0,-1001.0,0.0,0.0,0.0,44.0,234.0,-528.0
67,2022-10-25 19:12:13,5.00031,25.0,1.0,0.0,-1001.0,0.0,0.0,0.0,44.0,234.0,-528.0
68,2022-10-25 19:12:14,5.000837,25.0,0.0,0.0,-1001.0,0.0,0.0,0.0,44.0,234.0,-528.0
69,2022-10-25 19:12:15,5.000261,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
70,2022-10-25 19:12:16,5.000989,25.0,0.0,0.0,-1001.0,1.0,1.0,0.0,44.0,234.0,-528.0
71,2022-10-25 19:12:17,5.000613,25.0,0.0,0.0,-1001.0,1.0,1.0,-1.0,44.0,234.0,-528.0
72,2022-10-25 19:12:18,5.000701,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
73,2022-10-25 19:12:19,5.000388,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
74,2022-10-25 19:12:20,4.999621,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
75,2022-10-25 19:12:21,5.001543,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
76,2022-10-25 19:12:22,5.000686,25.0,-1.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
77,2022-10-25 19:12:23,5.000338,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
78,2022-10-25 19:12:24,5.001272,25.0,-1.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
79,2022-10-25 19:12:25,5.000875,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
80,2022-10-25 19:12:26,4.999638,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
81,2022-10-25 19:12:27,5.000648,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
82,2022-10-25 19:12:28,4.999969,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
83,2022-10-25 19:12:29,5.000538,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
84,2022-10-25 19:12:30,4.99627,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
85,2022-10-25 19:12:31,5.003799,25.0,-1.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
86,2022-10-25 19:12:32,4.998742,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
87,2022-10-25 19:12:33,5.000574,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
88,2022-10-25 19:12:34,4.999558,25.0,0.0,0.0,-1001.0,1.0,1.0,2.0,43.0,234.0,-528.0
89,2022-10-25 19:12:35,5.002955,25.0,-1.0,2.0,-1001.0,1.0,1.0,2.0,44.0,234.0,-528.0
90,2022-10-25 19:12:36,5.000435,25.0,1.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
91,2022-10-25 19:12:37,5.000641,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
92,2022-10-25 19:12:38,5.000471,25.0,1.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
93,2022-10-25 19:12:39,5.000874,25.0,-1.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
94,2022-10-25 19:12:40,5.000834,25.0,1.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
95,2022-10-25 19:12:41,5.00089,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
96,2022-10-25 19:12:42,5.001669,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
97,2022-10-25 19:12:43,5.000952,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
98,2022-10-25 19:12:44,5.000593,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
99,2022-10-25 19:12:45,4.998414,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
100,2022-10-25 19:12:46,5.001696,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
101,2022-10-25 19:12:47,5.000642,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
102,2022-10-25 19:12:48,5.000647,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
103,2022-10-25 19:12:49,5.001303,25.0,-1.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
104,2022-10-25 19:12:50,5.000741,25.0,0.0,0.0,-1001.0,1.0,1.0,0.0,44.0,234.0,-528.0
105,2022-10-25 19:12:51,4.999841,25.0,0.0,0.0,-1001.0,1.0,1.0,0.0,44.0,234.0,-528.0
106,2022-10-25 19:12:52,5.000761,25.0,-1.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
107,2022-10-25 19:12:53,4.999387,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
108,2022-10-25 19:12:54,5.000662,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
109,2022-10-25 19:12:55,4.99661,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
110,2022-10-25 19:12:56,5.003623,25.0,-1.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
111,2022-10-25 19:12:57,4.999591,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
112,2022-10-25 19:12:58,5.000635,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
113,2022-10-25 19:12:59,4.999206,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
114,2022-10-25 19:13:00,5.000796,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
115,2022-10-25 19:13:01,5.000507,25.0,1.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
116,2022-10-25 19:13:02,5.000837,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
117,2022-10-25 19:13:03,5.000544,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
118,2022-10-25 19:13:04,5.001122,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
119,2022-10-25 19:13:05,5.000803,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,43.0,234.0,-528.0
120,2022-10-25 19:13:06,5.000244,25.0,0.0,2.0,-1001.0,1.0,1.0,3.0,44.0,234.0,-528.0
121,2022-10-25 19:13:07,5.001873,25.0,0.0,0.0,-1001.0,1.0,1.0,2.0,44.0,234.0,-528.0
122,2022-10-25 19:13:08,5.000857,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
123,2022-10-25 19:13:09,5.00061,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
124,2022-10-25 19:13:10,4.998753,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
125,2022-10-25 19:13:11,5.000832,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
126,2022-10-25 19:13:12,5.000912,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
127,2022-10-25 19:13:13,5.000629,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
128,2022-10-25 19:13:14,5.001148,25.0,-1.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
129,2022-10-25 19:13:15,5.000679,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
130,2022-10-25 19:13:16,4.996691,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
131,2022-10-25 19:13:17,5.001745,25.0,-1.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
132,2022-10-25 19:13:18,5.000011,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
133,2022-10-25 19:13:19,5.000823,25.0,0.0,0.0,-1001.0,1.0,1.0,1.0,44.0,234.0,-528.0
134,2022-10-25 19:13:20,4.99687,25.0,0.0,0.0,-1001.0,1.0,1.0,0.0,44.0,234.0,-528.0
135,2022-10-25 19:13:21,5.001935,25.0,0.0,0.0,-1001.0,1.0,1.0,0.0,44.0,234.0,-528.0
136,2022-10-25 19:13:22,4.999643,25.0,0.0,0.0,-1001.0,1.0,1.0,2.0,43.0,234.0,-528.0
137,2022-10-25 19:13:23,5.000644,25.0,0.0,0.0,-1001.0,1.0,1.0,2.0,43.0,234.0,-528.0
138,2022-10-25 19:13:24,4.998888,25.0,0.0,0.0,-1001.0,2.0,1.0,2.0,43.0,234.0,-528.0
139,2022-10-25 19:13:25,5.001017,25.0,0.0,0.0,-1001.0,2.0,2.0,2.0,43.0,234.0,-528.0
140,2022-10-25 19:13:26,5.000566,25.0,0.0,0.0,-1001.0,2.0,2.0,2.0,43.0,234.0,-528.0
141,2022-10-25 19:13:27,5.000925,25.0,-1.0,0.0,-1001.0,2.0,2.0,2.0,43.0,234.0,-528.0
142,2022-10-25 19:13:28,5.000557,25.0,0.0,0.0,-1001.0,2.0,2.0,2.0,43.0,234.0,-528.0
143,2022-10-25 19:13:29,5.000524,25.0,0.0,0.0,-1001.0,2.0,2.0,2.0,43.0,234.0,-528.0
144,2022-10-25 19:13:30,5.00041,25.0,1.0,0.0,-1001.0,2.0,2.0,2.0,43.0,234.0,-528.0
145,2022-10-25 19:13:31,5.00105,25.0,0.0,0.0,-1001.0,2.0,2.0,2.0,43.0,234.0,-528.0
146,2022-10-25 19:13:32,5.001664,25.0,0.0,0.0,-1001.0,2.0,2.0,2.0,43.0,234.0,-528.0
147,2022-10-25 19:13:33,5.000607,25.0,0.0,0.0,-1001.0,2.0,2.0,2.0,43.0,234.0,-528.0
148,2022-10-25 19:13:34,5.000473,25.0,0.0,0.0,-1001.0,2.0,2.0,2.0,43.0,234.0,-528.0
